+-------------------------------------------------------+--------------+----------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------+--------------------------------------------------------+---------------------------------------------------------+
| Package                                               | Version      | License Information Origin | License Expression                                                  | License Url                                                         | Copyright                                                                           | Authors                                                              | Package Project Url                                                           | Error                                                  | Error Context                                           |
| Postmark                                              | 5.2.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Postmark                                                             | https://github.com/wildbit/postmark-dotnet/wiki                               |                                                        |                                                         |
| Riok.Mapperly                                         | 4.2.1        | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               |                                                                                     | Mapperly Contributors, Lars Tönz, Manuel Allenspach                  | https://mapperly.riok.app/                                                    |                                                        |                                                         |
| Roslyn.Analyzers                                      | 1.0.3.4      | Url                        | https://github.com/edumserrano/roslyn-analyzers/blob/master/Licence | https://github.com/edumserrano/roslyn-analyzers/blob/master/Licence |                                                                                     | Eduardo Serrano                                                      | https://github.com/edumserrano/roslyn-analyzers                               |                                                        |                                                         |
| SafeRouting                                           | 1.5.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Copyright © David Wake 2023                                                         | David Wake                                                           | https://github.com/daviddotcs/safe-routing                                    |                                                        |                                                         |
| Scalar.AspNetCore                                     | 2.3.1        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Scalar                                                               | https://scalar.com/                                                           |                                                        |                                                         |
| SendGrid                                              | 9.29.3       | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Twilio SendGrid, Inc. 2020                                                          | Elmer Thomas,Twilio DX Team                                          | https://sendgrid.com/                                                         |                                                        |                                                         |
| Serilog.AspNetCore                                    | 9.0.0        | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               |                                                                                     | Microsoft,Serilog Contributors                                       | https://github.com/serilog/serilog-aspnetcore                                 |                                                        |                                                         |
| Serilog.Sinks.OpenTelemetry                           | 4.1.1        | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               |                                                                                     | Serilog Contributors                                                 | https://github.com/serilog/serilog-sinks-opentelemetry                        |                                                        |                                                         |
| Serilog.Sinks.Seq                                     | 9.0.0        | Expression                 | Apache-2.0                                                          | https://licenses.nuget.org/Apache-2.0                               | Copyright © Serilog Contributors, Serilog.Sinks.Seq Contributors, Datalust Pty Ltd. | Serilog Contributors,Serilog.Sinks.Seq Contributors,Datalust Pty Ltd | https://github.com/serilog/serilog-sinks-seq                                  |                                                        |                                                         |
| SixLabors.ImageSharp                                  | 3.1.8        | Unknown                    |                                                                     | https://aka.ms/deprecateLicenseUrl                                  | Copyright © Six Labors                                                              | Six Labors and contributors                                          | https://github.com/SixLabors/ImageSharp                                       | Validation for licenses of type File not yet supported | F:\VS Projects\Ogma3\Ogma3\Ogma3.csproj                 |
| Sqids                                                 | 3.1.0        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      |                                                                                     | Arad Alvand                                                          | https://sqids.org/dotnet                                                      |                                                        |                                                         |
| System.ServiceModel.Syndication                       | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://dot.net/                                                              |                                                        |                                                         |
| System.Text.Json                                      | 9.0.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | © Microsoft Corporation. All rights reserved.                                       | Microsoft                                                            | https://dot.net/                                                              |                                                        |                                                         |
| TUnit                                                 | 0.21.13      | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Copyright (c) Tom Longhurst 2025                                                    | Tom Longhurst                                                        | https://github.com/thomhurst/TUnit                                            |                                                        |                                                         |
| ZstdSharp.Port                                        | 0.8.5        | Expression                 | MIT                                                                 | https://licenses.nuget.org/MIT                                      | Copyright Oleg Stepanischev 2025                                                    | Oleg Stepanischev                                                    | https://github.com/oleg-st/ZstdSharp                                          |                                                        |                                                         |
+-------------------------------------------------------+--------------+----------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------+-------------------------------------------------------------------------------------+----------------------------------------------------------------------+-------------------------------------------------------------------------------+--------------------------------------------------------+---------------------------------------------------------+
